step,train_cost,train_acc,test_cost,test_acc,n_train,batch_size
1,2.4223376921717956,0.09980468451976776,2.223708951080584,0.17000000178813934,1000,64
2,2.1302536956770437,0.21210937201976776,2.0432784931341077,0.25999999046325684,1000,64
3,2.1432969986812163,0.24726562201976776,1.9621225789751504,0.3149999976158142,1000,64
4,2.043325229786069,0.26972657442092896,1.9983863315983583,0.26999998092651367,1000,64
5,2.0839659064061746,0.27949219942092896,1.9129262830401683,0.2849999964237213,1000,64
6,1.9759373689396231,0.29960936307907104,1.9898691931118706,0.3149999976158142,1000,64
7,1.9539953158139998,0.31367188692092896,1.91787865147856,0.29499998688697815,1000,64
8,1.88864944869369,0.3515625,1.9014256341780535,0.3499999940395355,1000,64
9,1.8383210316940057,0.3570312559604645,1.8886362665571772,0.3149999976158142,1000,64
10,1.8184785324877426,0.3544921875,1.845038454418241,0.3349999785423279,1000,64
11,1.7411805013652764,0.3785156309604645,1.6769573494731822,0.38999998569488525,1000,64
12,1.7704605798110389,0.3755859434604645,1.8860118292793933,0.2800000011920929,1000,64
13,1.6754267099105462,0.41484373807907104,1.820100822222788,0.375,1000,64
14,1.6730842033925029,0.40351563692092896,1.7348639953250722,0.3700000047683716,1000,64
15,1.6439453268737778,0.4228515625,1.7997576091699932,0.3499999940395355,1000,64
16,1.6026658428746905,0.42792969942092896,1.6935945566871,0.39499998092651367,1000,64
17,1.5346492308527642,0.4683593809604645,1.7439575663377986,0.429999977350235,1000,64
18,1.5913643567392404,0.42890626192092896,1.7944071264390626,0.3999999761581421,1000,64
19,1.5175075626318322,0.4720703065395355,1.6234906314347415,0.41999998688697815,1000,64
20,1.4958026720671491,0.4791015684604645,1.8494236428150665,0.32999998331069946,1000,64
21,1.4473884080733033,0.4921875,1.5989060690584536,0.45499998331069946,1000,64
22,1.5226066411663555,0.4595703184604645,1.6267318494781184,0.4050000011920929,1000,64
23,1.4115281931439438,0.49394530057907104,1.7210354687614002,0.3999999761581421,1000,64
24,1.4813742550006408,0.4867187440395355,1.6096473595574283,0.4399999976158142,1000,64
25,1.409687465281864,0.5107421875,1.5695804089829637,0.45499998331069946,1000,64
26,1.3827051006469682,0.5113281011581421,1.6774563478608981,0.4399999976158142,1000,64
27,1.4307601989399543,0.505664050579071,1.6249318586271029,0.4650000035762787,1000,64
28,1.417947633141509,0.486328125,1.572225142530734,0.44999998807907104,1000,64
29,1.2738469423193413,0.5404297113418579,1.5956347060522906,0.4399999976158142,1000,64
30,1.2819186958313096,0.546875,1.651321078177157,0.4899999797344208,1000,64
31,1.3643231537512623,0.49492186307907104,1.551364208359917,0.4699999988079071,1000,64
32,1.3083440733752658,0.537890613079071,1.596956037645985,0.45499998331069946,1000,64
33,1.2406223989557055,0.574023425579071,1.6677955442710422,0.42499998211860657,1000,64
34,1.2213986971724282,0.5669921636581421,1.6209856128424758,0.48499998450279236,1000,64
35,1.2899920726447591,0.5445312261581421,1.6895733274865226,0.42499998211860657,1000,64
36,1.2387519872091746,0.5552734136581421,1.6209220833185471,0.4650000035762787,1000,64
37,1.1879572720298326,0.5982421636581421,1.5999262802167271,0.42499998211860657,1000,64
38,1.1979137102908823,0.574414074420929,1.7500631305966434,0.42499998211860657,1000,64
39,1.1879602971263656,0.5972656011581421,1.678114946390282,0.4399999976158142,1000,64
40,1.221512965164303,0.5791015625,1.5856356363897826,0.4599999785423279,1000,64
41,1.1324830117864124,0.604296863079071,1.6553413596951234,0.4599999785423279,1000,64
42,1.156138151366412,0.602734386920929,1.7184877526567321,0.45499998331069946,1000,64
43,1.1488273827464104,0.596484363079071,1.5896322485837282,0.5049999952316284,1000,64
44,1.1245201257348614,0.607226550579071,1.6363689285831557,0.4650000035762787,1000,64
45,1.0487090707031457,0.6197265386581421,1.5037452557444093,0.4899999797344208,1000,64
46,1.106884937966587,0.5986328125,1.55522937473412,0.5249999761581421,1000,64
47,1.0383608929138175,0.630664050579071,1.620543644087186,0.47999998927116394,1000,64
48,1.0131171435766135,0.639843761920929,1.613787598936235,0.47999998927116394,1000,64
49,1.032392722024611,0.639843761920929,1.5625599364006382,0.5,1000,64
50,1.0138744423849166,0.6263672113418579,1.5356006523286476,0.5349999666213989,1000,64
51,0.9910568978383146,0.6480468511581421,1.56890680380402,0.5199999809265137,1000,64
52,0.9827211481971085,0.6533203125,1.495136229007322,0.5099999904632568,1000,64
53,0.9161133018513411,0.6878906488418579,1.524004091921541,0.5399999618530273,1000,64
54,0.9794075515347502,0.6625000238418579,1.5304497437819367,0.5349999666213989,1000,64
55,0.9218217195102464,0.6849609613418579,1.4922062289133762,0.5299999713897705,1000,64
56,0.8822033123270455,0.6796875,1.561876474962213,0.5349999666213989,1000,64
57,0.9148192734909323,0.662890613079071,1.5471134432226197,0.5299999713897705,1000,64
58,0.8302156156978207,0.7203124761581421,1.5235083513217527,0.5550000071525574,1000,64
59,0.8410118661484822,0.705273449420929,1.6997154625762176,0.5099999904632568,1000,64
60,0.8967149446021823,0.6744140386581421,1.5287571836081562,0.5600000023841858,1000,64
61,0.8411411230897405,0.704296886920929,1.6059234816383534,0.5149999856948853,1000,64
62,0.859862465317735,0.702343761920929,1.6778494500518435,0.5249999761581421,1000,64
63,0.8122928859502837,0.724414050579071,1.595689954948145,0.5450000166893005,1000,64
64,0.7746203152310577,0.7373046875,1.6532869060184285,0.550000011920929,1000,64
65,0.72716297724035,0.7548828125,1.6427934973152005,0.5349999666213989,1000,64
66,0.8033970066480757,0.7220703363418579,1.6275667374544098,0.5249999761581421,1000,64
67,0.7803147085542206,0.7183593511581421,1.6752830968404853,0.5299999713897705,1000,64
68,0.77867780519012,0.737500011920929,1.6053073919253242,0.5399999618530273,1000,64
69,0.7177010241540123,0.7509765625,1.6430406425253983,0.5450000166893005,1000,64
70,0.7344523633688967,0.7369140386581421,1.6559812087547643,0.5099999904632568,1000,64
71,0.6744831567871206,0.789257824420929,1.6783377788072356,0.4949999749660492,1000,64
72,0.7134852397927237,0.751757800579071,1.6662432083971965,0.550000011920929,1000,64
73,0.7196452254542639,0.744140625,1.6165897286351025,0.5349999666213989,1000,64
74,0.6619802410312036,0.7769531011581421,1.71264004959339,0.5099999904632568,1000,64
75,0.7032290672516317,0.752148449420929,1.6617008269150153,0.550000011920929,1000,64
76,0.7262522920217497,0.734375,1.679217334834664,0.5550000071525574,1000,64
77,0.6514538712927793,0.7806640863418579,1.6714440860710515,0.5600000023841858,1000,64
78,0.6323834507437998,0.7916015386581421,1.6825263566055562,0.5550000071525574,1000,64
79,0.6451680528903517,0.7822265625,1.6965060822325646,0.5550000071525574,1000,64
80,0.6964483367062426,0.7660156488418579,1.7023467179024627,0.5600000023841858,1000,64
81,0.6613570307554966,0.774609386920929,1.6738394480560086,0.5600000023841858,1000,64
82,0.6612114381467313,0.779101550579071,1.6856194344164424,0.5450000166893005,1000,64
83,0.5871854368358543,0.795117199420929,1.7106567963314734,0.5649999976158142,1000,64
84,0.6434597063654774,0.777539074420929,1.6954817179068566,0.550000011920929,1000,64
85,0.6222389999576255,0.7681640386581421,1.691090116823905,0.5550000071525574,1000,64
86,0.6519817714505579,0.7748047113418579,1.6784961151513105,0.5550000071525574,1000,64
87,0.6072367615674392,0.774218738079071,1.6921441559870651,0.5399999618530273,1000,64
88,0.584804612929435,0.808398425579071,1.6936767810314879,0.5600000023841858,1000,64
89,0.634686175489211,0.7828124761581421,1.7021357009702163,0.5799999833106995,1000,64
90,0.559464503812343,0.811328113079071,1.70784487509759,0.5600000023841858,1000,64
91,0.6145214495050199,0.7953125238418579,1.6981562003395732,0.5600000023841858,1000,64
92,0.6012596896247738,0.796679675579071,1.6973479368640543,0.5550000071525574,1000,64
93,0.5926294505983332,0.813671886920929,1.7063481311130866,0.5699999928474426,1000,64
94,0.6161751755263429,0.7972656488418579,1.7090327146112787,0.5699999928474426,1000,64
95,0.6004374460144555,0.7943359613418579,1.7055792810070824,0.5649999976158142,1000,64
96,0.5559982524768174,0.8041015863418579,1.703335757854408,0.5649999976158142,1000,64
97,0.571022967725064,0.8134765625,1.7000212726928607,0.5600000023841858,1000,64
98,0.6169618081696986,0.783203125,1.6968746569761206,0.5550000071525574,1000,64
99,0.5710619174483799,0.7964843511581421,1.6902227045693994,0.5550000071525574,1000,64
100,0.5940303013322958,0.791015625,1.6894264407445123,0.5600000023841858,1000,64
